Variable i,Variable j,Time lag of i,Link type i --- j,Link value
exchange_inflow_usd_tether,exchange_inflow_usd_tether,1,-->,0.060167
exchange_inflow_usd_tether,exchange_inflow_usd_ethereum,0,o-o,0.099459
exchange_inflow_usd_tether,exchange_inflow_usd_chainlink,0,o-o,0.0304
exchange_inflow_usd_tether,exchange_outflow_usd_tether,0,o-o,0.26377
exchange_inflow_usd_tether,exchange_outflow_usd_tether,1,-->,0.10451
exchange_inflow_usd_tether,exchange_outflow_usd_bitcoin,0,o-o,0.034822
exchange_inflow_usd_tether,exchange_outflow_usd_ethereum,0,o-o,0.063047
exchange_inflow_usd_tether,exchange_outflow_usd_chainlink,0,o-o,0.041107
exchange_inflow_usd_tether,active_addresses_1h_chainlink,0,o-o,0.05578
exchange_inflow_usd_tether,sentiment_weighted_total_tether,0,o-o,0.065981
exchange_inflow_usd_tether,sentiment_weighted_total_bitcoin,0,o-o,0.035224
exchange_inflow_usd_tether,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.28258
exchange_inflow_usd_tether,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,0.042969
exchange_inflow_usd_tether,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.1185
exchange_inflow_usd_tether,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.10456
exchange_inflow_usd_tether,transaction_volume_bitcoin,0,o-o,0.043828
exchange_inflow_usd_tether,transaction_volume_ethereum,0,o-o,0.10505
exchange_inflow_usd_tether,transaction_volume_chainlink,0,o-o,0.044102
exchange_inflow_usd_tether,age_consumed_tether,0,o-o,0.062408
exchange_inflow_usd_ethereum,exchange_inflow_usd_ethereum,1,-->,0.097851
exchange_inflow_usd_ethereum,exchange_outflow_usd_tether,0,o-o,0.075651
exchange_inflow_usd_ethereum,exchange_outflow_usd_ethereum,0,o-o,0.39372
exchange_inflow_usd_ethereum,exchange_outflow_usd_ethereum,1,-->,0.07677
exchange_inflow_usd_ethereum,exchange_outflow_usd_chainlink,0,o-o,0.065851
exchange_inflow_usd_ethereum,active_addresses_1h_chainlink,0,o-o,0.044613
exchange_inflow_usd_ethereum,sentiment_weighted_total_bitcoin,0,o-o,0.056145
exchange_inflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.20912
exchange_inflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,0.098225
exchange_inflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.24817
exchange_inflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.085571
exchange_inflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_chainlink,1,-->,0.066104
exchange_inflow_usd_ethereum,transaction_volume_bitcoin,0,o-o,0.063621
exchange_inflow_usd_ethereum,transaction_volume_ethereum,0,o-o,0.52177
exchange_inflow_usd_ethereum,age_consumed_ethereum,0,o-o,0.20173
exchange_inflow_usd_chainlink,exchange_inflow_usd_chainlink,1,-->,0.33189
exchange_inflow_usd_chainlink,exchange_outflow_usd_chainlink,0,o-o,0.11919
exchange_inflow_usd_chainlink,active_addresses_1h_chainlink,0,o-o,0.1306
exchange_inflow_usd_chainlink,active_addresses_1h_chainlink,1,-->,0.045229
exchange_inflow_usd_chainlink,sentiment_weighted_total_bitcoin,0,o-o,0.033901
exchange_inflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.068057
exchange_inflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.072658
exchange_inflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.35108
exchange_inflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_chainlink,1,-->,0.075732
exchange_inflow_usd_chainlink,transaction_volume_ethereum,0,o-o,0.038951
exchange_inflow_usd_chainlink,transaction_volume_chainlink,0,o-o,0.69863
exchange_inflow_usd_chainlink,transaction_volume_chainlink,1,-->,0.35888
exchange_inflow_usd_chainlink,age_consumed_chainlink,0,o-o,0.75985
exchange_inflow_usd_chainlink,age_consumed_chainlink,1,-->,0.31495
exchange_outflow_usd_tether,exchange_outflow_usd_ethereum,0,o-o,0.075728
exchange_outflow_usd_tether,active_addresses_1h_chainlink,0,o-o,0.031964
exchange_outflow_usd_tether,sentiment_weighted_total_bitcoin,0,o-o,0.032577
exchange_outflow_usd_tether,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.26268
exchange_outflow_usd_tether,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,0.061067
exchange_outflow_usd_tether,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.12706
exchange_outflow_usd_tether,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.074472
exchange_outflow_usd_tether,transaction_volume_bitcoin,0,o-o,0.046809
exchange_outflow_usd_tether,transaction_volume_ethereum,0,o-o,0.12296
exchange_outflow_usd_tether,age_consumed_tether,0,o-o,0.064144
exchange_outflow_usd_bitcoin,exchange_outflow_usd_chainlink,0,o-o,0.034178
exchange_outflow_usd_bitcoin,active_addresses_1h_tether,0,o-o,0.033413
exchange_outflow_usd_bitcoin,active_addresses_1h_bitcoin,0,o-o,0.14338
exchange_outflow_usd_bitcoin,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,0.18264
exchange_outflow_usd_bitcoin,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.031727
exchange_outflow_usd_bitcoin,transaction_volume_bitcoin,0,o-o,0.54146
exchange_outflow_usd_bitcoin,transaction_volume_chainlink,0,o-o,0.037998
exchange_outflow_usd_bitcoin,age_consumed_bitcoin,0,o-o,0.79801
exchange_outflow_usd_ethereum,exchange_outflow_usd_ethereum,1,-->,0.091751
exchange_outflow_usd_ethereum,exchange_outflow_usd_chainlink,0,o-o,0.038574
exchange_outflow_usd_ethereum,deposit_transactions_ethereum,0,o-o,-0.039782
exchange_outflow_usd_ethereum,active_addresses_1h_chainlink,0,o-o,0.051669
exchange_outflow_usd_ethereum,network_growth_ethereum,0,o-o,-0.031789
exchange_outflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.14558
exchange_outflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,0.056097
exchange_outflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.21652
exchange_outflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_ethereum,1,-->,0.063219
exchange_outflow_usd_ethereum,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.056859
exchange_outflow_usd_ethereum,transaction_volume_bitcoin,0,o-o,0.051895
exchange_outflow_usd_ethereum,transaction_volume_ethereum,0,o-o,0.5145
exchange_outflow_usd_ethereum,transaction_volume_ethereum,1,-->,0.059636
exchange_outflow_usd_ethereum,age_consumed_ethereum,0,o-o,0.43807
exchange_outflow_usd_chainlink,exchange_outflow_usd_bitcoin,1,-->,0.056308
exchange_outflow_usd_chainlink,active_addresses_1h_bitcoin,0,o-o,0.034409
exchange_outflow_usd_chainlink,active_addresses_1h_chainlink,0,o-o,0.1033
exchange_outflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.049678
exchange_outflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,0.035396
exchange_outflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.060091
exchange_outflow_usd_chainlink,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.38758
exchange_outflow_usd_chainlink,transaction_volume_bitcoin,0,o-o,0.051887
exchange_outflow_usd_chainlink,transaction_volume_ethereum,0,o-o,0.067372
exchange_outflow_usd_chainlink,transaction_volume_chainlink,0,o-o,0.24761
exchange_outflow_usd_chainlink,age_consumed_chainlink,0,o-o,0.15526
deposit_transactions_tether,deposit_transactions_tether,1,-->,0.705
deposit_transactions_tether,deposit_transactions_ethereum,0,o-o,0.63188
deposit_transactions_tether,deposit_transactions_chainlink,0,o-o,0.63197
deposit_transactions_tether,network_growth_tether,0,o-o,0.54121
deposit_transactions_tether,network_growth_bitcoin,0,o-o,0.72674
deposit_transactions_tether,network_growth_ethereum,0,o-o,0.34497
deposit_transactions_tether,network_growth_chainlink,0,o-o,0.41607
deposit_transactions_tether,sentiment_weighted_total_ethereum,0,o-o,0.038735
deposit_transactions_tether,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,-0.031204
deposit_transactions_tether,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,-0.042574
deposit_transactions_tether,whale_transaction_count_100k_usd_to_inf_ethereum,1,-->,-0.060829
deposit_transactions_tether,age_consumed_tether,0,o-o,-0.084945
deposit_transactions_tether,percent_of_total_supply_on_exchanges_tether,0,o-o,0.27961
deposit_transactions_tether,percent_of_total_supply_on_exchanges_santiment,0,o-o,0.27489
